Best trial value: 0.06676275380849879
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00017489205183753874, 'num_neurons': 87, 'num_hidden_layers': 2, 'l1_reg': 0.00040322538610911165, 'l2_reg': 2.899284099154708e-05}

All trial results:
Trial 52: Value=0.10158612024345985, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00552097167697703, 'num_neurons': 66, 'num_hidden_layers': 16, 'l1_reg': 5.451733036471887e-07, 'l2_reg': 0.00012970834106748637}
Trial 53: Value=0.11459086094215203, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005359516085533191, 'num_neurons': 33, 'num_hidden_layers': 9, 'l1_reg': 4.3570727450201683e-07, 'l2_reg': 0.001451341206737151}
Trial 54: Value=0.11527397842955463, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005586290227358375, 'num_neurons': 149, 'num_hidden_layers': 9, 'l1_reg': 2.69342450984067e-07, 'l2_reg': 0.0013985754671206614}
Trial 55: Value=0.12181260963108849, Params={'optimizer': 'Adamax', 'activation_function': 'leaky_relu', 'learning_rate': 0.007678706229145035, 'num_neurons': 146, 'num_hidden_layers': 9, 'l1_reg': 3.934167074972846e-07, 'l2_reg': 0.0010743258018021781}
Trial 56: Value=0.23974473842390723, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.00027325666632158167, 'num_neurons': 181, 'num_hidden_layers': 9, 'l1_reg': 7.145928681933173e-07, 'l2_reg': 0.005862207205463793}
Trial 57: Value=0.9999741636169865, Params={'optimizer': 'Ftrl', 'activation_function': 'elu', 'learning_rate': 0.00010535120466061338, 'num_neurons': 103, 'num_hidden_layers': 10, 'l1_reg': 2.1821941389048274e-06, 'l2_reg': 0.00011207030677112493}
Trial 58: Value=1.0046272107978753, Params={'optimizer': 'AdamW', 'activation_function': 'gelu', 'learning_rate': 0.005473607912891419, 'num_neurons': 116, 'num_hidden_layers': 8, 'l1_reg': 86.51011151899544, 'l2_reg': 0.0008293353929357201}
Trial 59: Value=0.37905503870689966, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0025938479315495647, 'num_neurons': 64, 'num_hidden_layers': 7, 'l1_reg': 4.5101082363822695e-08, 'l2_reg': 0.08819608629373761}
Trial 60: Value=3.1199075185132465, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 0.008593196943523767, 'num_neurons': 79, 'num_hidden_layers': 5, 'l1_reg': 1.84596375580573e-08, 'l2_reg': 0.003880299057119196}
Trial 61: Value=0.11465660550200306, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005627310388026858, 'num_neurons': 41, 'num_hidden_layers': 11, 'l1_reg': 2.1348695576418831e-07, 'l2_reg': 0.00041094161137051455}
Trial 62: Value=0.10657692927850328, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005829845347490646, 'num_neurons': 41, 'num_hidden_layers': 10, 'l1_reg': 3.102223473369389e-07, 'l2_reg': 0.0003448381945724438}
Trial 63: Value=0.12663271970690734, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.004540317014034586, 'num_neurons': 40, 'num_hidden_layers': 10, 'l1_reg': 4.913688126014467e-07, 'l2_reg': 0.00037657853738307415}
Trial 64: Value=0.10778060470676183, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0032695183109832126, 'num_neurons': 51, 'num_hidden_layers': 8, 'l1_reg': 5.23280670214866e-06, 'l2_reg': 0.0009718632608875608}
Trial 65: Value=0.9979549547598312, Params={'optimizer': 'Adam', 'activation_function': 'sigmoid', 'learning_rate': 0.0031864033305653303, 'num_neurons': 56, 'num_hidden_layers': 8, 'l1_reg': 4.293102932454867e-06, 'l2_reg': 0.008246693039883627}
Trial 66: Value=0.12207641810176145, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0017277910529847162, 'num_neurons': 43, 'num_hidden_layers': 10, 'l1_reg': 2.731482732746114e-05, 'l2_reg': 8.81706398271541e-05}
Trial 67: Value=0.19781292066652179, Params={'optimizer': 'SGD', 'activation_function': 'tanh', 'learning_rate': 0.008020480916803218, 'num_neurons': 53, 'num_hidden_layers': 11, 'l1_reg': 8.980283050683994e-07, 'l2_reg': 0.0003228262438103007}
Trial 68: Value=0.1361988056656643, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.004035675782300978, 'num_neurons': 44, 'num_hidden_layers': 8, 'l1_reg': 6.991558468660188e-08, 'l2_reg': 0.0018488065081497496}
Trial 69: Value=0.14949912124026252, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0007808909117065035, 'num_neurons': 26, 'num_hidden_layers': 13, 'l1_reg': 1.1057568311576249e-06, 'l2_reg': 0.00016726289404234498}
Trial 70: Value=0.4943680653802512, Params={'optimizer': 'Adagrad', 'activation_function': 'silu', 'learning_rate': 0.00251926693681519, 'num_neurons': 38, 'num_hidden_layers': 7, 'l1_reg': 1.380698147872991e-07, 'l2_reg': 0.07206933911945884}
Trial 71: Value=0.12272485052365058, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00584621597022536, 'num_neurons': 85, 'num_hidden_layers': 9, 'l1_reg': 2.4515821367221994e-07, 'l2_reg': 0.0009450940164398713}
Trial 72: Value=0.22782609432812007, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005247134162860881, 'num_neurons': 62, 'num_hidden_layers': 11, 'l1_reg': 4.831515710781379e-08, 'l2_reg': 0.015409745868129158}
Trial 73: Value=0.1309072664132902, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00930792472566667, 'num_neurons': 50, 'num_hidden_layers': 10, 'l1_reg': 3.6660216561735883e-07, 'l2_reg': 0.0019912273481817026}
Trial 74: Value=0.11491844862074109, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.006292139090560604, 'num_neurons': 23, 'num_hidden_layers': 8, 'l1_reg': 5.657789666907757e-06, 'l2_reg': 0.0007453590243209362}
Trial 75: Value=0.2756357608541676, Params={'optimizer': 'Adadelta', 'activation_function': 'elu', 'learning_rate': 0.006967142331102335, 'num_neurons': 25, 'num_hidden_layers': 6, 'l1_reg': 6.118097578018328e-06, 'l2_reg': 0.0006382439858889697}
Trial 76: Value=0.13556220030114932, Params={'optimizer': 'Adamax', 'activation_function': 'leaky_relu', 'learning_rate': 0.004642881529049647, 'num_neurons': 21, 'num_hidden_layers': 12, 'l1_reg': 2.581694887029352e-06, 'l2_reg': 0.0002701369040489973}
Trial 77: Value=0.13286396183990545, Params={'optimizer': 'AdamW', 'activation_function': 'elu', 'learning_rate': 0.0063063129418822195, 'num_neurons': 36, 'num_hidden_layers': 6, 'l1_reg': 2.15627411242392e-05, 'l2_reg': 0.0005399054284507583}
Trial 78: Value=0.10624416620252425, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.003549520170054353, 'num_neurons': 23, 'num_hidden_layers': 8, 'l1_reg': 0.00012977741870145407, 'l2_reg': 0.00015461282807057518}
Trial 79: Value=0.1049315833930512, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.0034536609955820156, 'num_neurons': 28, 'num_hidden_layers': 7, 'l1_reg': 0.00021424241883623592, 'l2_reg': 6.794065567470435e-05}
Trial 80: Value=0.9995152962352766, Params={'optimizer': 'Ftrl', 'activation_function': 'mish', 'learning_rate': 0.003421185090540217, 'num_neurons': 16, 'num_hidden_layers': 3, 'l1_reg': 0.0001919531057951983, 'l2_reg': 2.8519294614346044e-05}
Trial 81: Value=0.11523544038092708, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.0038667777698740066, 'num_neurons': 28, 'num_hidden_layers': 5, 'l1_reg': 0.001544807263985831, 'l2_reg': 6.144215031577598e-05}
