name,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment,hf_homo_ev,hf_lumo_ev,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment,dft_homo_ev,dft_lumo_ev
003-M-Benz-BA,-36455.8345957495,-36463.8664992206,2.10179784631439,-36453.7327979031,6.85735,-5.2906,7.2951,-36913.6623813998,-36920.6749064079,2.1759295884961,-36911.4864518113,5.28952,-3.7261,1.8499
003-M-BenZ-BA-pipi,-36455.8318716163,-36463.8832453877,2.09627855825522,-36453.735593058,10.56013,-5.2006,7.1125,-36913.6279714973,-36920.6764117425,2.14807681682167,-36911.4798946805,7.63717,-3.8515,1.7129
004-Benz-BA-M,-36456.1431534219,-36464.2806531759,2.02856380818569,-36454.1145898858,12.35074,-4.941,7.2873,-36913.9240173685,-36920.9444007565,2.16624695638993,-36911.7577704121,10.91366,-3.6511,1.8529
004-Benz-M-BA,-36455.7573251724,-36463.8385762435,2.09387116578569,-36453.6634540066,2.9452,-5.0321,6.4527,-36913.884794858,-36920.8897028512,2.17612959227875,-36911.7086655378,7.97204,-2.9237,1.0112
004-MEL-BA,-25166.0864179037,-25171.2760178227,1.59047960437898,-25164.4959382993,0.94839,-8.9352,3.8640,-25480.1190020661,-25484.5987940028,1.67786629112758,-25478.4411355029,0.74548,-6.4495,-1.7285
005-BA-FL,-43933.0776172115,-43942.4315832377,2.15256343228879,-43930.9250537792,7.93512,-4.9946,4.0793,-44480.7630557993,-44488.8277177131,2.25397487408199,-44478.5090809252,6.27026,-3.0819,0.0982
006-MEL-FL,-42754.1478056811,-42764.2364147172,2.18326496532453,-42751.9645404436,7.72634,-3.9951,4.7962,-43293.7631953144,-43302.5632841985,2.28265296748809,-43291.4805423469,7.43254,-2.8184,0.408
007-BA-MEL-BA,-38338.316384503,-38346.0739595205,2.0874000229895,-38336.2289842079,0.48954,-9.061,3.8577,-38813.5098177716,-38820.2574365451,2.16938415858064,-38811.340433613,0.4238,-6.5353,-1.7413
008-MEL-BA-MEL,-37160.0779471369,-37168.5879921682,2.07223674301074,-37158.0057103939,0.7729,-8.9259,3.8056,-37626.9982446169,-37634.3650304748,2.24843817072746,-37624.7498064462,0.80964,-6.4446,-1.7752
009-Dimer-FL,-55927.0915493174,-55939.7887763975,2.60011638660553,-55924.4914329308,9.60079,-5.1972,4.1357,-56627.6970082284,-56638.7777652805,2.7323428329683,-56624.9646653954,12.32094,-3.0602,0.2119
6,-27275.074081831,-27281.8826876082,1.79851755258373,-27273.2755642784,0.89428,-8.8115,4.0223,-27617.1092766922,-27622.9990833236,1.87820831146715,-27615.2310683807,1.46217,-6.3097,-1.4838
7,-27275.1001506233,-27281.9330686971,1.76602768640571,-27273.3341229369,0.43373,-9.1517,4.3953,-27617.0975869473,-27623.0265722788,1.850973782778,-27615.2466131645,0.74395,-6.5961,-1.3671
9,-42556.3547026646,-42567.3972187214,2.45102349880059,-42553.9036791658,0.8225,-8.9838,4.0618,-43087.5142564552,-43097.1068923015,2.55382680365264,-43084.9604296515,0.8787,-6.4793,-1.5184
10,-42556.3673673939,-42567.4197731615,2.42842116656321,-42553.9389462273,0.05209,-9.3021,4.3053,-43087.5189640272,-43097.1178383588,2.55315930803517,-43084.9658047192,1.70746,-6.6825,-1.503
11,-39268.8107978096,-39278.9206110562,2.27664659538682,-39266.5341512142,1.51369,-8.7573,4.3651,-39763.6648905372,-39772.5191385409,2.38996411269848,-39761.2749264245,2.03163,-6.222,-1.2174
12,-39268.7403270891,-39278.8341190803,2.28805524653156,-39266.4522718425,0.98677,-9.0553,4.5389,-39763.6129309151,-39772.4750982522,2.3874220238039,-39761.2255086191,0.93749,-6.4608,-1.2454
14,-54549.9336142981,-54564.2337598573,2.98233749306317,-54546.9512765329,1.74343,-8.7061,4.1197,-55234.0580684444,-55246.5447263719,3.12209768735308,-55230.935970757,1.0161,-6.2731,-1.4414
15,-54550.138724844,-54564.4753919102,2.93849884081821,-54547.2002260032,0.6255,-8.7787,4.182,-55234.2526568865,-55246.8928058803,2.99530263623071,-55231.2573545224,0.66941,-6.3794,-1.4746
16,-54549.9166945223,-54564.2299992419,2.96659542662768,-54546.9500988236,0.71764,-8.6568,3.9162,-55234.4071117805,-55247.0644368814,2.97398141665825,-55231.4331303638,2.18093,-6.6047,-1.3632
17,-54550.0945283619,-54564.4310259011,2.93534231853421,-54547.1591857712,1.46087,-8.939,4.3828,-55234.0538338065,-55246.5501134126,3.11968539683173,-55230.9341484096,0.84116,-6.5568,-1.3209
18,-54550.0953267443,-54564.4415689576,2.93032970672442,-54547.1649970376,1.38455,-8.7319,4.2039,-55234.1867397214,-55246.7562677877,3.04654278900367,-55231.1401972046,1.29509,-6.3243,-1.4658
19,-54550.2765056811,-54564.690413664,2.88500857746194,-54547.3914971037,1.12261,-8.9866,4.2866,-55234.3022461237,-55246.9611383291,2.97933389884155,-55231.3229119527,2.03729,-6.5872,-1.4067
21,-54550.3300185299,-54564.7213217315,2.90534093479474,-54547.4246775952,0.20779,-8.7837,4.2733,-55234.3866659516,-55247.0739586941,2.95447029934727,-55231.4321956523,0.11123,-6.3591,-1.3243
22,-54550.0390032301,-54564.4652619227,2.86390151159961,-54547.1751017185,0.99433,-8.8105,4.0702,-55234.266964368,-55246.9670108211,2.94332804779874,-55231.3236365923,3.00006,-6.3099,-1.5438
23,-54550.1043938546,-54564.4473070253,2.93009949828888,-54547.1742943563,1.03707,-8.8556,4.1158,-55234.2124332686,-55246.9038501708,2.9524993777177,-55231.2599338909,1.29156,-6.3845,-1.4974
24,-54550.0856419353,-54564.4820148926,2.88739311235631,-54547.1982488229,0.77973,-8.816,4.0075,-55234.1468001906,-55246.7562220726,3.02028868702049,-55231.1265115036,2.46623,-6.3671,-1.6382
26,-57837.9625313192,-57853.2658446947,3.08446214562416,-57834.8780691736,0.76152,-8.9769,3.9459,-58558.3531516357,-58571.743328148,3.14443089885435,-58555.2087207368,1.63036,-6.5059,-1.559
27,-57837.7661066519,-57853.0772862986,3.07106352487055,-57834.695043127,1.05138,-9.2853,4.0046,-58558.1468990274,-58571.5321426572,3.14842172263169,-58554.9984773048,2.26772,-6.7332,-1.5578
28,-57837.5027718755,-57852.7195293283,3.17360750509013,-57834.3291643705,1.52203,-8.8206,4.1288,-58557.8685617904,-58571.1163288066,3.25726486960578,-58554.6112969208,1.19945,-6.3008,-1.4116
29,-51262.6018582174,-51276.0492137703,2.75171843751226,-51259.8501397799,0.36099,-8.8203,4.31,-51910.4016844075,-51922.2125496899,2.90627401366645,-51907.4954103939,0.32708,-6.3898,-1.2839
